Date,Close,Open,High,Low
Feb-07-2006,1.586,1.593,1.600,1.570
Feb-08-2006,1.576,1.590,1.613,1.560
Feb-09-2006,1.567,1.590,1.595,1.565
Feb-10-2006,1.604,1.595,1.615,1.568
Feb-13-2006,1.567,1.590,1.613,1.565
Feb-14-2006,1.600,1.580,1.613,1.570
Feb-15-2006,1.576,1.615,1.615,1.575
Feb-16-2006,1.557,1.585,1.598,1.550
Feb-17-2006,1.529,1.588,1.588,1.525
Feb-20-2006,1.525,1.520,1.535,1.512
Feb-21-2006,1.534,1.538,1.560,1.525
Feb-22-2006,1.534,1.545,1.555,1.495
Feb-23-2006,1.567,1.540,1.570,1.515
Feb-24-2006,1.609,1.592,1.610,1.563
Feb-27-2006,1.604,1.620,1.635,1.603
Feb-28-2006,1.590,1.590,1.633,1.588
Mar-01-2006,1.609,1.585,1.625,1.575
Mar-02-2006,1.637,1.648,1.658,1.628
Mar-03-2006,1.623,1.698,1.705,1.623
Mar-06-2006,1.637,1.648,1.653,1.633
Mar-07-2006,1.651,1.658,1.673,1.635
Mar-08-2006,1.618,1.648,1.648,1.618
Mar-09-2006,1.618,1.619,1.643,1.605
Mar-10-2006,1.665,1.673,1.688,1.620
Mar-13-2006,1.693,1.690,1.713,1.680
Mar-14-2006,1.679,1.697,1.712,1.679
Mar-15-2006,1.721,1.680,1.745,1.675
Mar-16-2006,1.720,1.725,1.755,1.718
Mar-17-2006,1.715,1.722,1.745,1.705
Mar-20-2006,1.729,1.738,1.755,1.713
Mar-22-2006,1.725,1.760,1.760,1.725
Mar-23-2006,1.715,1.738,1.753,1.715
Mar-24-2006,1.729,1.740,1.755,1.729
Mar-27-2006,1.692,1.755,1.755,1.688
Mar-28-2006,1.706,1.723,1.730,1.680
Mar-29-2006,1.775,1.745,1.798,1.738
Mar-30-2006,1.775,1.798,1.845,1.775
Mar-31-2006,1.766,1.853,1.853,1.766
Apr-03-2006,1.780,1.778,1.860,1.778
Apr-04-2006,1.835,1.883,1.883,1.835
Apr-05-2006,1.845,1.853,1.870,1.845
Apr-06-2006,1.868,1.853,1.880,1.833
Apr-07-2006,1.878,1.888,1.910,1.878
Apr-10-2006,1.882,1.890,1.965,1.882
Apr-11-2006,1.887,1.928,1.928,1.887
Apr-12-2006,1.887,1.902,1.905,1.868
Apr-13-2006,1.928,1.885,1.943,1.885
Apr-14-2006,1.960,1.975,2.000,1.940
Apr-17-2006,1.970,1.990,2.005,1.965
Apr-18-2006,1.960,1.970,2.003,1.960
Apr-19-2006,1.882,1.960,1.970,1.880
Apr-20-2006,1.905,1.915,1.930,1.905
Apr-21-2006,1.910,1.926,1.978,1.903
Apr-24-2006,1.891,1.907,1.933,1.891
Apr-25-2006,1.905,1.915,1.923,1.895
Apr-26-2006,1.933,1.985,1.998,1.933
Apr-27-2006,1.965,1.970,2.000,1.963
Apr-28-2006,1.919,1.977,1.998,1.919
May-01-2006,1.882,1.930,1.953,1.882
May-02-2006,1.914,1.928,1.938,1.914
May-08-2006,1.965,1.960,1.998,1.945
May-09-2006,1.956,1.995,2.000,1.956
May-10-2006,1.998,1.985,2.013,1.975
May-11-2006,1.971,2.010,2.013,1.970
May-12-2006,1.998,2.005,2.010,1.970
May-15-2006,1.998,2.010,2.013,1.998
May-16-2006,1.966,1.984,2.008,1.964
May-17-2006,1.924,1.965,1.985,1.910
May-18-2006,1.957,1.956,1.988,1.928
May-19-2006,1.920,1.963,1.973,1.910
May-22-2006,1.850,1.913,1.913,1.840
May-23-2006,1.812,1.835,1.843,1.800
May-24-2006,1.845,1.810,1.845,1.805
May-25-2006,1.868,1.850,1.868,1.827
May-26-2006,1.868,1.873,1.896,1.860
May-29-2006,1.878,1.874,1.888,1.860
May-30-2006,1.854,1.880,1.883,1.845
May-31-2006,1.831,1.850,1.850,1.795
Jun-01-2006,1.934,1.885,1.934,1.825
Jun-02-2006,1.918,1.955,1.960,1.910
Jun-05-2006,1.876,1.902,1.920,1.870
Jun-06-2006,1.927,1.895,1.938,1.888
Jun-07-2006,1.881,1.933,1.935,1.880
Jun-08-2006,1.862,1.895,1.897,1.860
Jun-09-2006,1.853,1.878,1.891,1.850
Jun-12-2006,1.844,1.850,1.873,1.840
Jun-13-2006,1.797,1.853,1.853,1.785
Jun-14-2006,1.793,1.774,1.807,1.763
Jun-15-2006,1.793,1.775,1.817,1.775
Jun-16-2006,1.820,1.787,1.838,1.787
Jun-19-2006,1.830,1.835,1.840,1.810
Jun-20-2006,1.862,1.838,1.888,1.838
Jun-21-2006,1.853,1.885,1.895,1.850
Jun-22-2006,1.862,1.875,1.883,1.845
Jun-23-2006,1.881,1.885,1.888,1.873
Jun-26-2006,1.899,1.875,1.913,1.875
Jun-27-2006,1.908,1.920,1.933,1.893
Jun-28-2006,1.913,1.928,1.935,1.887
Jun-29-2006,1.922,1.928,1.938,1.917
Jun-30-2006,1.922,1.935,1.935,1.913
Jul-03-2006,1.969,1.935,1.985,1.935
Jul-04-2006,1.969,1.992,2.000,1.930
Jul-05-2006,1.985,1.985,2.000,1.966
Jul-06-2006,1.985,2.005,2.005,1.973
Jul-07-2006,1.962,1.995,1.998,1.958
Jul-10-2006,1.981,1.990,1.998,1.958
Jul-11-2006,1.976,2.000,2.000,1.970
Jul-12-2006,1.944,1.988,1.988,1.913
Jul-13-2006,1.920,1.950,1.990,1.915
Jul-14-2006,1.855,1.945,1.945,1.843
Jul-18-2006,1.841,1.878,1.903,1.830
Jul-19-2006,1.860,1.848,1.865,1.840
Jul-20-2006,1.827,1.845,1.858,1.815
Jul-21-2006,1.832,1.817,1.835,1.800
Jul-24-2006,1.869,1.818,1.870,1.818
